Rank,Name,Points
223,got_milt,"38,438"
224,BRORANNOSAURUS_FLEX,"38,266"
225,Superbowlhomeboy,"38,167"
226,clarkgriswold,"38,112"
227,moneymatus,"37,750"
228,rhino2424,"37,714"
229,centaur83,"37,689"
230,bmcgeever,"37,663"
231,pjm11,"37,572"
232,ababygirl,"37,375"
233,elindy4,"37,287"
234,513yoshi,"37,202"
235,jimmyrad,"37,193"
236,Escotch,"36,823"
237,1ucror,"36,706"
238,WhiskeyTavon4,"36,556"
239,Rigby,"36,536"
240,klovegreen,"36,497"
241,samdolee81,"36,413"
242,ehlowel,"36,208"
243,wu36,"36,171"
244,Garydpsu,"36,166"
245,geotico,"36,013"
246,Mallen21,"35,962"
247,TonyDWPT,"35,913"
248,plymouth96,"35,899"
249,goferal,"35,813"
250,hedzup,"35,663"
251,Fifthace,"35,610"
252,Ainmhithe,"35,583"
253,mxschnittker,"35,449"
254,aboveandbeyond,"35,322"
255,joemarino27,"35,267"
256,theoddsmaker,"35,023"
257,jscarfino,"34,544"
258,BaltimorePolice,"34,541"
259,mjgsimpson,"34,528"
260,poppaspicks,"34,307"
261,abragmania,"34,293"
262,thewrongguy,"34,285"
263,Niromada,"34,262"
264,billybebop57,"34,246"
265,kia12345678,"34,244"
266,wemo,"34,173"
267,mberkowi,"34,017"
268,BBROCK,"33,890"
269,ZARR,"33,872"
270,viewfromtop,"33,781"
271,ArtVandelay,"33,751"
272,Ryanfour1637,"33,545"
273,Socrdave,"33,366"
274,sandstorm,"33,333"
275,TeamMisanthrope,"33,324"
276,alomar15,"33,293"
277,vengven,"33,152"
278,awk134,"33,124"
279,knickgilman,"33,046"
280,tspiedo,"32,998"
281,Grind12344,"32,841"
282,jsarina3,"32,635"
283,abe_chernin,"32,570"
284,mlbsyndicate,"32,520"
285,chuckyduce,"32,520"
286,evanpro13,"32,516"
287,fastdontlie13,"32,514"
288,SportsFront,"32,469"
289,jpecanac,"32,243"
290,livecasebreak,"32,206"
291,AmateurHr,"32,068"
292,benbell23,"31,932"
293,biener,"31,898"
294,feartheturtle,"31,852"
295,emptypoker,"31,827"
296,Honnow12,"31,810"
297,TeamNAI,"31,723"
298,jepst14,"31,691"
299,Fortay76,"31,517"
300,Juggernautzd,"31,504"
301,uncleberms,"31,439"
302,tomcecil,"31,399"
303,Atwood19,"31,341"
304,MD0530,"31,326"
